index,label,vuln_type,repo,saved_path,source_path,code
0,vulnerable,missing_signer_check,sealevel-attacks,dataset\vulnerable\missing_signer_check\lib_0.rs,sealevel-attacks\programs\0-signer-authorization\insecure\src\lib.rs,"use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");
#[program]
pub mod signer_authorization_insecure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: AccountInfo<'info>,
}
"
1,vulnerable,missing_signer_check,sealevel-attacks,dataset\vulnerable\missing_signer_check\lib_1.rs,sealevel-attacks\programs\0-signer-authorization\recommended\src\lib.rs,"use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_recommended {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: Signer<'info>,
}
"
2,vulnerable,missing_signer_check,sealevel-attacks,dataset\vulnerable\missing_signer_check\lib_2.rs,sealevel-attacks\programs\0-signer-authorization\secure\src\lib.rs,"use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod signer_authorization_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        if !ctx.accounts.authority.is_signer {
            return Err(ProgramError::MissingRequiredSignature);
        }
        msg!(""GM {}"", ctx.accounts.authority.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    authority: AccountInfo<'info>,
}
"
3,vulnerable,account_data_matching,sealevel-attacks,dataset\vulnerable\account_data_matching\lib_3.rs,sealevel-attacks\programs\1-account-data-matching\insecure\src\lib.rs,"use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_insecure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;
        msg!(""Your account balance is: {}"", token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>,
}
"
4,vulnerable,account_data_matching,sealevel-attacks,dataset\vulnerable\account_data_matching\lib_4.rs,sealevel-attacks\programs\1-account-data-matching\recommended\src\lib.rs,"use anchor_lang::prelude::*;
use anchor_spl::token::TokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_recommended {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        msg!(""Your account balance is: {}"", ctx.accounts.token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    #[account(constraint = authority.key == &token.owner)]
    token: Account<'info, TokenAccount>,
    authority: Signer<'info>,
}
"
5,vulnerable,account_data_matching,sealevel-attacks,dataset\vulnerable\account_data_matching\lib_5.rs,sealevel-attacks\programs\1-account-data-matching\secure\src\lib.rs,"use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod account_data_matching_secure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;
        if ctx.accounts.authority.key != &token.owner {
            return Err(ProgramError::InvalidAccountData);
        }
        msg!(""Your acocunt balance is: {}"", token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>,
}
"
6,vulnerable,missing_signer_check,sealevel-attacks,dataset\vulnerable\unknown\lib_6.rs,sealevel-attacks\programs\10-sysvar-address-checking\insecure\src\lib.rs,"use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod insecure {
    use super::*;

    pub fn check_sysvar_address(ctx: Context<CheckSysvarAddress>) -> Result<()> {
        msg!(""Rent Key -> {}"", ctx.accounts.rent.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct CheckSysvarAddress<'info> {
    rent: AccountInfo<'info>,
}
"
7,vulnerable,unknown,sealevel-attacks,dataset\vulnerable\unknown\lib_7.rs,sealevel-attacks\programs\10-sysvar-address-checking\recommended\src\lib.rs,"use anchor_lang::prelude::*;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod recommended {
    use super::*;

    pub fn check_sysvar_address(ctx: Context<CheckSysvarAddress>) -> Result<()> {
        msg!(""Rent Key -> {}"", ctx.accounts.rent.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct CheckSysvarAddress<'info> {
    rent: Sysvar<'info, Rent>,
}
"
8,vulnerable,missing_signer_check,sealevel-attacks,dataset\vulnerable\unknown\lib_8.rs,sealevel-attacks\programs\10-sysvar-address-checking\secure\src\lib.rs,"use anchor_lang::prelude::*;
use anchor_lang::solana_program::sysvar;
declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod secure {
    use super::*;

    pub fn check_sysvar_address(ctx: Context<CheckSysvarAddress>) -> Result<()> {
        require_eq!(ctx.accounts.rent.key(), sysvar::rent::ID);
        msg!(""Rent Key -> {}"", ctx.accounts.rent.key().to_string());
        Ok(())
    }
}

#[derive(Accounts)]
pub struct CheckSysvarAddress<'info> {
    rent: AccountInfo<'info>,
}
"
9,vulnerable,missing_owner_check,sealevel-attacks,dataset\vulnerable\missing_owner_check\lib_9.rs,sealevel-attacks\programs\2-owner-checks\insecure\src\lib.rs,"use anchor_lang::prelude::*;
use anchor_lang::solana_program::program_error::ProgramError;
use anchor_lang::solana_program::program_pack::Pack;
use spl_token::state::Account as SplTokenAccount;

declare_id!(""Fg6PaFpoGXkYsidMpWTK6W2BeZ7FEfcYkg476zPFsLnS"");

#[program]
pub mod owner_checks_insecure {
    use super::*;

    pub fn log_message(ctx: Context<LogMessage>) -> ProgramResult {
        let token = SplTokenAccount::unpack(&ctx.accounts.token.data.borrow())?;
        if ctx.accounts.authority.key != &token.owner {
            return Err(ProgramError::InvalidAccountData);
        }
        msg!(""Your account balance is: {}"", token.amount);
        Ok(())
    }
}

#[derive(Accounts)]
pub struct LogMessage<'info> {
    token: AccountInfo<'info>,
    authority: Signer<'info>,
}
"
